level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-50.0_pressure_bar,-nu-50.0_H2O_mean,-nu-50.0_H2O_std,-nu-50.0_H2O_l__mean,-nu-50.0_H2O_l__std,-nu-50.0_H2O_l_p__mean,-nu-50.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
0,98.583430705,0.024964680896140633,6.520785092732172e-07,0.0,0.0,0.0,0.0,98.616533055,0.024964636295102538,8.151075304799784e-07,0.0,0.0,0.0,0.0,98.621356495,0.02496475831978023,1.581766041299232e-06,0.0,0.0,0.0,0.0,98.92235107,0.024964523467235267,9.672451906358436e-10,0.0,0.0,0.0,0.0,100.80476296,0.024964522570371628,0.0,0.0,0.0,0.0,0.0,102.92236041999999,0.024964522570371628,0.0,0.0,0.0,0.0,0.0
1,95.778898195,0.024988024208694698,1.9535124634705587e-05,0.0,0.0,0.0,0.0,95.81105744000001,0.024985667809844018,3.227242041978137e-05,0.0,0.0,0.0,0.0,95.815873155,0.02499483221117407,6.15428139183275e-05,0.0,0.0,0.0,0.0,96.110715735,0.024964538126252593,4.8274068639231315e-08,0.0,0.0,0.0,0.0,97.94317597999999,0.02496459200978279,1.5456588145885426e-09,0.0,0.0,0.0,0.0,100.00337149,0.024964610763825477,3.21922408533134e-09,0.0,0.0,0.0,0.0
2,93.03316760999999,0.02499194428138435,2.300466868593401e-05,0.0,0.0,0.0,0.0,93.06440877,0.024986999922432005,3.586254911024566e-05,0.0,0.0,0.0,0.0,93.069432375,0.024993609301745892,5.9104969434551123e-05,0.0,0.0,0.0,0.0,93.364434155,0.024964553324505687,8.52252240584681e-08,0.0,0.0,0.0,0.0,95.155262,0.024964591339230537,1.1400240472033141e-09,0.0,0.0,0.0,0.0,97.164804,0.024964608049951494,5.793028546510291e-10,0.0,0.0,0.0,0.0
3,90.34386619000001,0.024993508785031735,2.5658458366858328e-05,0.0,0.0,0.0,0.0,90.374259855,0.024988443119451403,3.681139279012328e-05,0.0,0.0,0.0,0.0,90.37958216499999,0.024993041531182824,5.838284151368633e-05,0.0,0.0,0.0,0.0,90.68182278,0.024964567557908594,9.439078564973634e-08,0.0,0.0,0.0,0.0,92.439121,0.024964589330367742,1.0819030485188906e-09,0.0,0.0,0.0,0.0,94.40444099999999,0.024964606292545797,4.1355756182604774e-10,0.0,0.0,0.0,0.0
4,87.710430585,0.024993218090385197,2.4655313448515177e-05,0.0,0.0,0.0,0.0,87.7400499,0.02498819393478334,3.679613436422722e-05,0.0,0.0,0.0,0.0,87.745664365,0.024991674380376937,5.9610372574491787e-05,0.0,0.0,0.0,0.0,88.06142761,0.024964590603485704,8.878269088467214e-08,0.0,0.0,0.0,0.0,89.7929035,0.0249645875710994,9.880643436827275e-10,0.0,0.0,0.0,0.0,91.7201225,0.024964603843167423,8.977698429192727e-10,0.0,0.0,0.0,0.0
5,85.132174255,0.02499422979913652,2.4893186579894794e-05,0.0,0.0,0.0,0.0,85.16105732000001,0.024987460747361183,3.7068383405537114e-05,0.0,0.0,0.0,0.0,85.166965085,0.024991051910445095,6.098845794754175e-05,0.0,0.0,0.0,0.0,85.50184965500002,0.024964628868736325,8.258702271463116e-08,0.0,0.0,0.0,0.0,87.2148205,0.02496458593942225,1.0869918971686823e-09,0.0,0.0,0.0,0.0,89.1097555,0.02496460154559463,9.123154369032312e-10,0.0,0.0,0.0,0.0
6,82.6084587025,0.024995396296493708,2.509109582188865e-05,0.0,0.0,0.0,0.0,82.636640795,0.02498632494173944,3.6959442581534284e-05,0.0,0.0,0.0,0.0,82.64282208,0.024990816240198912,5.9938223947624274e-05,0.0,0.0,0.0,0.0,83.0017507075,0.024964670212939383,7.793211979016208e-08,0.0,0.0,0.0,0.0,84.703129,0.024964584853500126,1.302728211573628e-09,0.0,0.0,0.0,0.0,86.5713035,0.024964599447324872,8.298099818640322e-10,0.0,0.0,0.0,0.0
7,80.1386049575,0.024995991124771536,2.501691848417441e-05,0.0,0.0,0.0,0.0,80.1660994225,0.024985986731946467,3.6606943197342876e-05,0.0,0.0,0.0,0.0,80.17254276999999,0.02499019593652338,5.924892095812301e-05,0.0,0.0,0.0,0.0,80.55983808,0.024964674913324415,6.706567005943814e-08,0.0,0.0,0.0,0.0,82.2561455,0.024964583632536234,1.136356665608859e-09,0.0,0.0,0.0,0.0,84.1027885,0.024964597618207334,8.460572236439554e-10,0.0,0.0,0.0,0.0
8,77.721924745,0.024996174436062574,2.4695600128888783e-05,0.0,0.0,0.0,0.0,77.7487568,0.024986830273643137,3.551359495901902e-05,0.0,0.0,0.0,0.0,77.7554385875,0.02498906659986824,6.00866568099907e-05,0.0,0.0,0.0,0.0,78.174866825,0.024964591859839857,5.106453480772699e-08,0.0,0.0,0.0,0.0,79.87222975,0.02496458191704005,9.187916118977752e-10,0.0,0.0,0.0,0.0,81.702288,0.024964595939964057,9.085050521982606e-10,0.0,0.0,0.0,0.0
9,75.35773823,0.024995938057079913,2.6713505683791556e-05,0.0,0.0,0.0,0.0,75.38391446499999,0.024987924573011695,3.567858051180429e-05,0.0,0.0,0.0,0.0,75.390821585,0.024988204217515887,6.052644349221238e-05,0.0,0.0,0.0,0.0,75.8456281775,0.024964408769272268,5.884231898742283e-08,0.0,0.0,0.0,0.0,77.549794235,0.024964580280706285,9.938761045209135e-10,0.0,0.0,0.0,0.0,79.367935,0.02496459449082613,9.07656870972229e-10,0.0,0.0,0.0,0.0
10,73.04535804999999,0.024995804109610616,3.058211759775483e-05,0.0,0.0,0.0,0.0,73.0708891075,0.024988504777662457,3.840136204489737e-05,0.0,0.0,0.0,0.0,73.07800262,0.02498779197409749,5.967012518663535e-05,0.0,0.0,0.0,0.0,73.5709592125,0.02496420693397522,7.619669163061167e-08,0.0,0.0,0.0,0.0,75.28729525,0.024964579228311776,1.2786974160171322e-09,0.0,0.0,0.0,0.0,77.0979145,0.024964593211188914,4.90604608918202e-10,0.0,0.0,0.0,0.0
11,70.784096265,0.024996077967807652,3.3055676663167455e-05,0.0,0.0,0.0,0.0,70.8089961675,0.024988460732623934,4.028360744053695e-05,0.0,0.0,0.0,0.0,70.8162994025,0.02498798550013453,5.70717871300842e-05,0.0,0.0,0.0,0.0,71.3497328475,0.024964177902787925,1.0236761597698285e-07,0.0,0.0,0.0,0.0,73.083234,0.024964578152634205,9.388539957051878e-10,0.0,0.0,0.0,0.0,74.8904635,0.02496459147706628,1.4384638202419748e-10,0.0,0.0,0.0,0.0
12,68.57327306750001,0.024996123501099646,3.3879044849740145e-05,0.0,0.0,0.0,0.0,68.5975517675,0.024988404695875942,4.208407246403624e-05,0.0,0.0,0.0,0.0,68.6050331425,0.024988433602266012,5.500098075396993e-05,0.0,0.0,0.0,0.0,69.18086255,0.024964578902348877,1.5077326045449725e-07,0.0,0.0,0.0,0.0,70.93615842,0.024964576421305538,8.226884233658322e-10,0.0,0.0,0.0,0.0,72.74386975,0.024964589625597,0.0,0.0,0.0,0.0,0.0
13,66.4122100175,0.0249957619253546,3.430094813047145e-05,0.0,0.0,0.0,0.0,66.4358786075,0.024988503044471144,4.3680708486920093e-05,0.0,0.0,0.0,0.0,66.443520665,0.024988469501025973,5.336231473694355e-05,0.0,0.0,0.0,0.0,67.063291835,0.024965610497631133,2.236552394684146e-07,0.0,0.0,0.0,0.0,68.84465375,0.024964575013145803,1.1175482837575754e-09,0.0,0.0,0.0,0.0,70.65646625,0.02496458776295185,0.0,0.0,0.0,0.0,0.0
14,64.30023,0.02499542004056275,3.3425606101532766e-05,0.0,0.0,0.0,0.0,64.3232981,0.024988254551775755,4.3948712120914246e-05,0.0,0.0,0.0,0.0,64.3310886625,0.02498858610820025,5.167617313851135e-05,0.0,0.0,0.0,0.0,64.9960015325,0.024967240344733,3.3070454022545293e-07,0.0,0.0,0.0,0.0,66.80734825,0.024964574416168034,9.46307606123405e-10,0.0,0.0,0.0,0.0,68.62663625,0.0249645859003067,0.0,0.0,0.0,0.0,0.0
15,62.23666041,0.024995259270071984,3.217105087991609e-05,0.0,0.0,0.0,0.0,62.2591365325,0.024986983869224787,4.322315677513e-05,0.0,0.0,0.0,0.0,62.2670626975,0.024989200737327338,5.0348800924604985e-05,0.0,0.0,0.0,0.0,62.9779957275,0.02496910702716559,4.273284062235974e-07,0.0,0.0,0.0,0.0,64.82290925,0.02496457269974053,7.575975704215519e-10,0.0,0.0,0.0,0.0,66.65280625,0.024964584037661552,0.0,0.0,0.0,0.0,0.0
16,60.22082845,0.024994694147258998,3.120808842573605e-05,0.0,0.0,0.0,0.0,60.242722317500004,0.024985078205354512,4.243922095782286e-05,0.0,0.0,0.0,0.0,60.2507729575,0.024989979611709713,4.955049586520844e-05,0.0,0.0,0.0,0.0,61.0083199475,0.024970738544128835,9.471125365552658e-07,0.0,0.0,0.0,0.0,62.890041,0.024964571584016083,1.1073014181370015e-09,0.0,0.0,0.0,0.0,64.73344900000001,0.024964582913555206,9.111510055294559e-10,0.0,0.0,0.0,0.0
17,58.2520652775,0.024993687212467194,3.065768668523257e-05,0.0,0.0,0.0,0.0,58.27338798499999,0.02498356375284493,4.249554722449538e-05,0.0,0.0,0.0,0.0,58.281550645,0.024990727799013256,5.028338512364146e-05,0.0,0.0,0.0,0.0,59.0860329875,0.02497221650276333,1.4769868253117706e-06,0.0,0.0,0.0,0.0,61.0074852975,0.024964570761658252,7.951635196298281e-10,0.0,0.0,0.0,0.0,62.867078,0.024964582175016403,0.0,0.0,0.0,0.0,0.0
18,56.329705492500004,0.024993046483956276,2.9996544717287436e-05,0.0,0.0,0.0,0.0,56.350467255,0.02498306285496801,4.287157097791348e-05,0.0,0.0,0.0,0.0,56.3587318475,0.024991044268012047,5.168143200464757e-05,0.0,0.0,0.0,0.0,57.210227005,0.024975016959011553,1.2092715895012878e-06,0.0,0.0,0.0,0.0,59.1740170225,0.024964569089002908,8.613596016261398e-10,0.0,0.0,0.0,0.0,61.052251749999996,0.024964580312371254,0.0,0.0,0.0,0.0,0.0
19,54.45308853,0.02499291281402111,2.932035167217487e-05,0.0,0.0,0.0,0.0,54.4732981325,0.024983166852965952,4.2956577974002304e-05,0.0,0.0,0.0,0.0,54.48165373,0.0249906191136688,5.268934990599361e-05,0.0,0.0,0.0,0.0,55.380002915000006,0.02498235695529729,4.833977218680424e-06,0.0,0.0,0.0,0.0,57.38844825,0.024964568722993137,1.0077512758553339e-09,0.0,0.0,0.0,0.0,59.287563250000005,0.024964578449726105,0.0,0.0,0.0,0.0,0.0
20,52.62155534,0.024992946790531278,2.8959869198901617e-05,0.0,0.0,0.0,0.0,52.6412225,0.02498348515108228,4.284790092810492e-05,0.0,0.0,0.0,0.0,52.64965887,0.02499021268542856,5.2790886222004454e-05,0.0,0.0,0.0,0.0,53.5944827425,0.024998123980127275,1.348659710290056e-05,0.0,0.0,0.0,0.0,55.64962125,0.024964567087590695,7.213993642865525e-10,0.0,0.0,0.0,0.0,57.571652,0.02496457715611905,8.579695171940904e-10,0.0,0.0,0.0,0.0
21,50.834449545,0.024993129642680287,2.9307382166608356e-05,0.0,0.0,0.0,0.0,50.853584007500004,0.024983801445923746,4.3141163881542125e-05,0.0,0.0,0.0,0.0,50.8620912275,0.02499029031675309,5.228541085007053e-05,0.0,0.0,0.0,0.0,51.852796354999995,0.025024413918145,2.4663973873103523e-05,0.0,0.0,0.0,0.0,53.9564095,0.024964566177688538,1.1209468302883052e-09,0.0,0.0,0.0,0.0,55.90319025,0.024964576587080956,0.0,0.0,0.0,0.0,0.0
22,49.0911158875,0.024993685241788625,3.0741822520904484e-05,0.0,0.0,0.0,0.0,49.1097305575,0.024983510119840503,4.378908504959269e-05,0.0,0.0,0.0,0.0,49.118298625,0.024990294092334806,5.248098409496293e-05,0.0,0.0,0.0,0.0,50.15409494,0.02506022441294044,3.505744981207222e-05,0.0,0.0,0.0,0.0,52.307720499999995,0.02496456520073116,7.455957044930447e-10,0.0,0.0,0.0,0.0,54.28089125,0.024964574724435806,0.0,0.0,0.0,0.0,0.0
23,47.3909070125,0.024994024346582593,3.2640396535141114e-05,0.0,0.0,0.0,0.0,47.409011262499995,0.024982772283256054,4.526655701930909e-05,0.0,0.0,0.0,0.0,47.4176317425,0.02498997490666807,5.259360681252255e-05,0.0,0.0,0.0,0.0,48.49755722,0.02510306393261999,4.1203955956302106e-05,0.0,0.0,0.0,0.0,50.702487000000005,0.024964563728310168,8.478366043758829e-10,0.0,0.0,0.0,0.0,52.70349975,0.024964572899974884,2.639424699314049e-10,0.0,0.0,0.0,0.0
24,45.73317692,0.02499376439023763,3.435801001473967e-05,0.0,0.0,0.0,0.0,45.7507811475,0.024982190950773656,4.7001875602489785e-05,0.0,0.0,0.0,0.0,45.759444325000004,0.02498970412183553,5.1608248251478454e-05,0.0,0.0,0.0,0.0,46.8823781275,0.025150042405351996,4.0572656324529044e-05,0.0,0.0,0.0,0.0,49.139672999999995,0.024964563325047495,7.579844426131176e-10,0.0,0.0,0.0,0.0,51.16979875,0.024964572861790657,0.0,0.0,0.0,0.0,0.0
25,44.1172811275,0.024993051214143632,3.6177915012536615e-05,0.0,0.0,0.0,0.0,44.1343970225,0.024981943673454226,4.794691479073252e-05,0.0,0.0,0.0,0.0,44.1430936125,0.024989582534879446,5.058134665792991e-05,0.0,0.0,0.0,0.0,45.307791845000004,0.02519771098718047,3.8141009873968437e-05,0.0,0.0,0.0,0.0,47.61826875,0.02496456177625805,7.592369885690838e-10,0.0,0.0,0.0,0.0,49.67860275,0.024964570999145508,0.0,0.0,0.0,0.0,0.0
26,42.542580677500005,0.024992309421300887,3.78381549867499e-05,0.0,0.0,0.0,0.0,42.559218345,0.0249817220736295,4.8942529631379125e-05,0.0,0.0,1.401298464324817e-48,6.265230350794826e-47,42.56793971,0.024989683204330503,5.088281416664093e-05,0.0,0.0,3.503246160812043e-48,6.997728725546945e-47,43.7730606425,0.02524402773194015,4.356099848772601e-05,0.0,0.0,0.0,0.0,46.1372905,0.024964561462402345,7.579844426131176e-10,0.0,0.0,0.0,0.0,48.2287625,0.02496456937585026,6.233262050432691e-10,0.0,0.0,0.0,0.0
27,41.00843854,0.024992065040394664,3.9357725853615606e-05,0.0,0.0,1.0089348943138682e-46,4.246096209978178e-46,41.024609148749995,0.02498129832278937,5.0747767088353924e-05,0.0,0.0,2.7255255131117693e-46,1.2523169647746479e-45,41.0333466175,0.024990023585036398,5.39304957294037e-05,0.0,0.0,2.8236164056145066e-46,1.0889610641768605e-45,42.277463614999995,0.025295002911239862,5.3756463200596e-05,0.0,0.0,0.0,0.0,44.69578224999999,0.024964559888467193,6.761555827571694e-10,0.0,0.0,0.0,0.0,46.8191575,0.02496456913650036,0.0,0.0,0.0,0.0,0.0
28,39.5142230875,0.024992437779903412,4.043466401133609e-05,0.0,0.0,3.7877097490699803e-45,5.1936573214743625e-45,39.52993563625,0.024980647755786775,5.263062214504441e-05,0.0,0.0,4.258546033083119e-45,1.717030850325183e-44,39.53867936625,0.024990678035654128,5.8343733872302805e-05,0.0,0.0,4.519187547447535e-45,1.535271800062858e-44,40.82025006,0.025366925762966275,6.949764639811921e-05,0.0,0.0,0.0,0.0,43.2928107325,0.024964559599757196,7.579844426131176e-10,0.0,0.0,0.0,0.0,45.448699749999996,0.02496456727385521,0.0,0.0,0.0,0.0,0.0
29,38.05930259625,0.024993103954941035,4.135894409884586e-05,0.0,0.0,5.560001981824793e-44,7.377771198443776e-44,38.074567155,0.024980037856847048,5.4558775203391715e-05,0.0,0.0,6.189675446769149e-44,2.398035751070794e-43,38.08330988125,0.024991755918599666,6.383991864744927e-05,0.0,0.0,6.566694798595741e-44,2.205252484851782e-43,39.40063804875,0.025470935768447816,9.438439763051584e-05,0.0,0.0,0.0,0.0,41.92746575,0.024964558051899077,6.627431739900274e-10,0.0,0.0,0.0,0.0,44.11633,0.02496456726361066,1.3775705958479329e-10,0.0,0.0,0.0,0.0
30,36.64305353,0.024993683379143476,4.235579222699103e-05,0.0,0.0,8.097599357885961e-43,1.0566618553197042e-42,36.657878672500004,0.024979471517726778,5.636590222808373e-05,0.0,0.0,8.989119453874053e-43,3.363796404587176e-42,36.666612125,0.02499273817706853,6.959501205670184e-05,0.0,0.0,9.541609399403399e-43,3.178433733715516e-42,38.017866062500005,0.025590414055623113,0.00011893371493027197,0.0,0.0,0.0,0.0,40.598862374999996,0.02496455775946379,7.100954458445221e-10,0.0,0.0,0.0,0.0,42.8210180525,0.02496456541121006,0.0,0.0,0.0,0.0,0.0
31,35.26485026125,0.02499418971221894,4.2784423431315566e-05,0.0,0.0,1.1796875262820098e-41,1.5158796048271266e-41,35.27924531625,0.024978853824548425,5.7366862661877424e-05,0.0,0.0,1.3065578662555108e-41,4.737638012789307e-41,35.287961851249996,0.024993463744409382,7.276935847050299e-05,0.0,0.0,1.3873111935083891e-41,4.5905719034849524e-41,36.6712415325,0.025701069219037892,0.00012639702150282468,0.0,0.0,0.0,0.0,39.306136375,0.024964556257240474,7.408312533686764e-10,0.0,0.0,0.0,0.0,41.56176575,0.0249645642247051,8.956805726078837e-10,0.0,0.0,0.0,0.0
32,33.924073776250005,0.024994735828600824,4.270288395640125e-05,0.0,0.0,1.7193195634792657e-40,2.178224489723511e-40,33.93804676875,0.02497832850087434,5.728293217799187e-05,0.0,0.0,1.9007678512035976e-40,6.700525893003787e-40,33.94673966375,0.024994056838564576,7.435388293447957e-05,0.0,0.0,2.0184880345037044e-40,6.6423266668883655e-40,35.36011548875,0.025807023521512748,0.00011736617717135357,0.0,0.0,0.0,0.0,38.04844525,0.024964555948972702,5.698598377696555e-10,0.0,0.0,0.0,0.0,40.3375975,0.02496456354856491,0.0,0.0,0.0,0.0,0.0
33,32.62010606875,0.024995259529910982,4.249852921883776e-05,0.0,0.0,2.5068988482415637e-39,3.135675834607137e-39,32.633667095,0.024977980686351656,5.769049175780425e-05,0.0,0.0,2.7677128862690118e-39,9.51715039281059e-39,32.64232729125,0.024994250033050776,7.459600622562456e-05,0.0,0.0,2.938828578554328e-39,9.62667758406487e-39,34.08383554625,0.025933538020588457,0.00011509076520945815,0.0,0.0,7.006492321624086e-49,3.1326151753974123e-47,36.824967125,0.024964554954320192,1.0151057198725809e-09,0.0,0.0,0.0,0.0,39.1475675,0.024964561704546213,1.8533085232723882e-10,0.0,0.0,0.0,0.0
34,31.35233542,0.02499570889864117,4.2673229307777034e-05,0.0,0.0,3.656915364567543e-38,4.522824346414343e-38,31.365493921249996,0.024977860703133046,5.92975360205095e-05,0.0,0.0,4.0336176209787334e-38,1.3574806997948264e-37,31.3741151925,0.02499386447761208,7.321182543575896e-05,0.0,0.0,4.281631932656395e-38,1.3971733407927107e-37,32.841717172500005,0.02609794059302658,0.00015244080001387508,0.0,0.0,4.90454462513686e-47,5.182436719212678e-46,35.634899454999996,0.024964554123580455,4.423537137746035e-10,0.0,0.0,0.0,0.0,37.9907545,0.02496456168591976,0.0,0.0,0.0,0.0,0.0
35,30.120151701250002,0.02499595731496811,4.4022607501295416e-05,0.0,0.0,5.336999341640759e-37,6.536944617015748e-37,30.13291794375,0.024977804904803634,6.224093591548476e-05,0.0,0.0,5.883554075522335e-37,1.944208080929592e-36,30.141492415,0.024993378949351608,7.115156524958455e-05,0.0,0.0,6.2420130063194305e-37,2.030349332457044e-36,31.633082255,0.026273632222786544,0.00019638533135566652,0.0,0.0,1.1084270852809304e-45,7.280459488510238e-45,34.4774605,0.024964553910307587,8.413915754180078e-10,0.0,0.0,0.0,0.0,36.866263125,0.024964559823274612,0.0,0.0,0.0,0.0,0.0
36,28.92294837625,0.02499609421007335,4.6453629525333837e-05,0.0,0.0,7.792687206341389e-36,9.46756052824678e-36,28.935331753750003,0.024977506188675763,6.482986385401635e-05,0.0,0.0,8.58900031641285e-36,2.7954253591433085e-35,28.943853905,0.02499322964437306,6.940555572252265e-05,0.0,0.0,9.105605714302888e-36,2.9537554385371746e-35,30.45729203625,0.026421884103678166,0.000207462397976461,0.0,0.0,1.6257864783096528e-44,1.0562664538945551e-43,33.351884874999996,0.02496455229818821,3.6500241499888577e-10,0.0,0.0,0.0,0.0,35.773222125,0.024964559823274612,0.0,0.0,0.0,0.0,0.0
37,27.760124180000002,0.024996258488856254,5.097653211700113e-05,0.0,0.0,1.1383759913599161e-34,1.3739962769077677e-34,27.77213437125,0.02497698510810733,6.690161009534966e-05,0.0,0.0,1.254837686269774e-34,4.033888801309529e-34,27.780596770000002,0.024993447121232748,6.899315327860801e-05,0.0,0.0,1.329051861331805e-34,4.301241471348784e-34,29.31374527875,0.02652327507920563,0.00017992173001045526,0.0,0.0,2.359338198414408e-43,1.5321958687971253e-42,32.257427875,0.02496455219667405,6.052013279529424e-10,0.0,0.0,0.0,0.0,34.710784,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
38,26.63107982625,0.02499643924925476,5.730779011960063e-05,0.0,0.0,1.663754334896557e-33,1.997926906569703e-33,26.642724792499997,0.024976512972265483,6.914995181212687e-05,0.0,0.0,1.8346782156349823e-33,5.840345376707524e-33,26.65112297625,0.02499358115904033,6.865130508483614e-05,0.0,0.0,1.940896555977313e-33,6.268504995135821e-33,28.201838521250004,0.02659697407204658,0.00011725640296634222,0.0,0.0,3.422858572458353e-42,2.222694054386098e-41,31.193359125,0.024964550656266512,6.775978183007229e-10,0.0,0.0,0.0,0.0,33.678124125000004,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
39,25.535219647499996,0.02499654727894813,6.312407760733775e-05,0.0,0.0,2.4326970079919402e-32,2.910471499803713e-32,25.546508442500002,0.02497631281428039,7.150025392469562e-05,0.0,0.0,2.6843462035648665e-32,8.480961260199238e-32,25.55483534375,0.024993488328531384,6.913797031154933e-05,0.0,0.0,2.835723167948212e-32,9.141441298817457e-32,27.1209585175,0.026650650064460935,5.855743333652244e-05,0.0,0.0,4.965978460656861e-41,3.2247505037491525e-40,30.158967999999998,0.024964550398290156,4.423537137746035e-10,0.0,0.0,0.0,0.0,32.674441125,0.024964556097984314,0.0,0.0,0.0,0.0,0.0
40,24.471951851249997,0.024996603191830218,6.795168852358622e-05,0.0,0.0,3.5585084070576506e-31,4.246888023100734e-31,24.482892127499998,0.024976511385291816,7.436024937509102e-05,0.0,0.0,3.9301028256778586e-31,1.2348115288766758e-30,24.4911438,0.024993180859833954,7.037639096552348e-05,0.0,0.0,4.1447506977003845e-31,1.3337877832494218e-30,26.070472404999997,0.02669835688173771,3.8514815974408664e-05,0.0,0.0,7.205570114113842e-40,4.679224387266503e-39,29.153557625,0.024964550186879934,7.800853729669735e-10,0.0,0.0,0.0,0.0,31.698953624999998,0.024964556097984314,0.0,0.0,0.0,0.0,0.0
