level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_v_mean,-kappa-0.01_theta_v_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_v_mean,-kappa-0.1_theta_v_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_v_mean,-kappa-1.0_theta_v_std
0,98.641808724,158.06102519268003,0.04268800955960859,98.64185334915,158.0610275996118,0.04109703944656469,98.64310833475002,158.06039374749702,0.04078285108271172
1,95.83570845604999,158.3008476360465,0.031690153037899224,95.83577874619999,158.30512930743117,0.03067396310056919,95.8368811927,158.29263073179544,0.0515177706259022
2,93.08915590670001,158.30125441046795,0.02534015138023262,93.08926032970002,158.30391868312876,0.021451876726599175,93.09038659284998,158.32532082645682,0.030041749059323216
3,90.39926189854998,158.29725816566662,0.0239616658339994,90.39936777420003,158.2982257154741,0.021465945873957972,90.40080698205001,158.32137357345138,0.02097549231736694
4,87.76524872839998,158.28891756842714,0.024804393725387362,87.76534381840001,158.29021823273365,0.02131055037780916,87.76710247595001,158.31454879061792,0.019367794496388088
5,85.18642798875,158.28608541438203,0.025207788328003047,85.18651300625,158.28713098733147,0.02145050743016189,85.18858724719998,158.31192994241937,0.019352276553382133
6,82.66214767627501,158.28336695973783,0.025584708099071634,82.66222079962502,158.28441866560556,0.021409376343812167,82.66461101819999,158.31088068392017,0.018849972296326224
7,80.19172181469997,158.2818778810502,0.0258403434669281,80.1917819142,158.2827177215299,0.021524246275887855,80.19449594825001,158.310690716009,0.018279438017196715
8,77.77446621435001,158.28043330737142,0.02609971516356952,77.7745113478,158.28117073373565,0.02160120157213312,77.777556790275,158.3109061466693,0.017531575155999974
9,75.40969247592501,158.27940256495776,0.026314461039277266,75.4097213747,158.2799994919831,0.021707045755156043,75.413105435375,158.31132092196515,0.016925134488359136
10,73.09671544762497,158.27848213299242,0.02651508774662945,73.096727076075,158.2789784912179,0.02179498856742114,73.100452986225,158.31167585582762,0.016562606575643794
11,70.83485113207499,158.27775481470712,0.02669111237731578,70.8348447272,158.27814426240553,0.021879009771130872,70.83891184084999,158.3120008142266,0.01639168812323667
12,68.62341818132501,158.2771193112541,0.026850809971987626,68.62339320049999,158.27742316340516,0.02194582149877768,68.62779820545,158.31236433964798,0.016280208305156578
13,66.46173761222501,158.27659190587312,0.026991326934626515,66.46169371245,158.27681267790211,0.0220018371885016,66.4664320499,158.31281321859012,0.016177013235367015
14,64.34913326542501,158.2761423329073,0.027114950610879675,64.34907020885001,158.27628370524195,0.022045150597747528,64.35413673259998,158.31336116231407,0.01605662394519593
15,62.284931706925,158.2757694408576,0.027217931887698815,62.284849388100014,158.27582940837135,0.02207749319375267,62.29023872992499,158.3140075449959,0.015928816577504532
16,60.268462486699995,158.2754584080401,0.027301987339076378,60.26836080715002,158.27543920926368,0.022095109790697808,60.27406733975002,158.31472962381866,0.01582399374391199
17,58.2990580079,158.27520310824775,0.02736819301141319,58.298937020699995,158.27511062481858,0.022092969719842523,58.30495458767501,158.3155032088481,0.015765944548168584
18,56.37605372192498,158.27499369932366,0.02741512633674612,56.37591357837499,158.274839362743,0.022067664051999617,56.38223546742499,158.31632315182895,0.015747908798154107
19,54.498788078124996,158.27482645161166,0.027446714484730555,54.4986290922,158.27462164139888,0.022021767333347472,54.505248131874986,158.31720508258323,0.01573847819983768
20,52.66660257664999,158.27469846494446,0.027465813027486893,52.666425198925005,158.27445375640622,0.021958209875027283,52.673334049424994,158.3181662299658,0.01570472943837517
21,50.878841872175,158.27460736329044,0.027470774336248626,50.8786466664,158.27433250105568,0.021878291857872288,50.88583800789999,158.31921889058245,0.015632155808237635
22,49.13485372755,158.27454829907896,0.027462409787887245,49.13464138812499,158.27425293475966,0.02178285975865086,49.142107984525005,158.32036658937164,0.015531466250951712
23,47.433989001,158.2745136631801,0.02744392648273601,47.433760344900016,158.27420837688726,0.021674929684887406,47.44149520352501,158.32161250624625,0.015429678403687211
24,45.775601684849995,158.27450113789286,0.027422822170434378,45.77535767467501,158.27419678463855,0.021558609470619428,45.783354032774994,158.32295501068262,0.01533558759286207
25,44.15904906640001,158.27450903599188,0.02740034717136107,44.1587907566,158.27421663077064,0.021435216216022214,44.167041936475,158.3243842836752,0.015224208270601199
26,42.583691592150004,158.2745351656015,0.027375382766951496,42.58342019114999,158.27426767035118,0.021303076551298296,42.591919535124994,158.32588938888924,0.01511410268127482
27,41.048893004625,158.2745803363745,0.027350071020502246,41.0486098336625,158.27434944568023,0.021161694242455998,41.05735081720001,158.32751770784083,0.015131937005213886
28,39.554020343149986,158.27464285286752,0.027325050165587172,39.55372677961251,158.27445786438398,0.02101261705445572,39.56270281275,158.32918441601785,0.01513396695238415
29,38.0984439592,158.27472018502473,0.02729953816825693,38.09814142047501,158.27459009989678,0.020857603306591387,38.10734508842499,158.3308117941194,0.01527094690435402
30,36.6815374714875,158.2748107088849,0.0272744488808568,36.681227409725,158.27474236915876,0.020699035355453477,36.69065039264999,158.33243305408453,0.015539778002982818
31,35.30267787992501,158.2749122368566,0.027250690220965636,35.30236172703749,158.27490955821497,0.02053858399411347,35.311994930750004,158.33401484851032,0.01580005518096188
32,33.9612455454375,158.27502367441943,0.027230655121714433,33.960924668850005,158.27508822779117,0.02037543315257679,33.9707582788125,158.33559189834676,0.01602011695204512
33,32.656624207412506,158.2751423611715,0.027216764867586347,32.656299916862494,158.27527551832625,0.020211340453385684,32.6663237048625,158.33717716648678,0.01623809471295945
34,31.388201011350006,158.27526219039183,0.027212203171405974,31.387874509725002,158.27546579075795,0.020050020069090076,31.398077279600002,158.33860794258794,0.016464963442479368
35,30.155366467287493,158.27537852382508,0.027220033426925812,30.155038920575,158.27565292904902,0.019895236609172605,30.16540785275,158.33984237339527,0.01674099007512943
36,28.957514536362506,158.27548540946435,0.027242112135847856,28.957187016737507,158.2758311415441,0.019748771192769674,28.9677085329875,158.34110194357115,0.016975073328999283
37,27.794042609924997,158.27557695973297,0.027281822826323694,27.793716134125,158.27599763833072,0.019612537204668993,27.80437711155,158.34248040023814,0.01679123067435943
38,26.6643515270125,158.27564642694034,0.027339791858669905,26.664027102212504,158.27615051702045,0.019489194717077867,26.674814813687494,158.3438703729902,0.016467374854589364
39,25.567845657524998,158.27568812446253,0.027421246559568777,25.5675242687,158.27628908986117,0.019378714298568495,25.578425204787507,158.34508192885497,0.016132533901624165
40,24.503932888087505,158.27569736527198,0.027533014146694162,24.503615521362498,158.27641042476782,0.019278711874288354,24.514613971087503,158.34585722830522,0.01568412050109938
41,23.472024610625,158.27566770071218,0.027678137152237665,23.4717123057875,158.27650716855646,0.019190991462253976,23.482789436287497,158.34608775255256,0.015090192514849096
42,22.471535874837503,158.27559378069424,0.02785503782635335,22.4712295907,158.27656979478786,0.019122221577714375,22.4823636216,158.34580391893726,0.014392240704893564
43,21.501885273150002,158.27547613764077,0.028062192077177098,21.501585968437496,158.27659404711272,0.019079270725516368,21.5127530392875,158.3450969997419,0.013643852854773013
44,20.562495119906256,158.27531574213813,0.028296625098273312,20.56220365921875,158.27658014340548,0.019062783003775625,20.5733787994,158.3440665218376,0.012863390525647085
45,19.65279141299375,158.27511997972212,0.028555912272843122,19.652508586312496,158.27653561477297,0.019069150241073755,19.6636667133,158.34282465323153,0.012056224727590995
46,18.772203928799996,158.27490427506572,0.02883831166869294,18.7719304770625,158.2764775645151,0.01908880343531201,18.78304733538125,158.34151471423638,0.01121945884562242
47,17.920166266531243,158.2746901389601,0.029133002233426075,17.9199029035875,158.27643509863051,0.019105056099206107,17.930956144068748,158.340372487383,0.01041381926319126
48,17.096115921468748,158.27450472967521,0.029415726547428037,17.095863337181246,158.27645245934838,0.01909519152648164,17.10683393203125,158.33971822096666,0.009819167846813514
49,16.29949423194375,158.27438257849678,0.029655775741221475,16.299253271368748,158.27657885402928,0.01902560432349874,16.310126882343752,158.33993348403388,0.009654483683458457
50,15.529746543575003,158.27437452061523,0.02982614075059827,15.529518164193753,158.2768707334959,0.018857914938177518,15.54028648603125,158.3414329317035,0.01017483686982689
51,14.786322182531249,158.27452605844707,0.029884799569520126,14.786107523931248,158.27739288730206,0.018538800864714718,14.796769093218748,158.3445071862768,0.011666034056861146
52,14.06867449935,158.27490627824824,0.029798468806032586,14.068474925150001,158.27822945773556,0.018019669218079664,14.079034874625002,158.34924177403306,0.014272815352553984
53,13.37626092488125,158.27557748079244,0.029501580288389544,13.37607805276875,158.27945884359335,0.01723295062952788,13.386546708481251,158.35543823186362,0.01788188567437709
54,12.708543018050001,158.27665985996583,0.02897899732161169,12.708378699531252,158.28115210067241,0.016196845329602045,12.718769020075001,158.36258460951694,0.022013225372564317
55,12.064986584537497,158.27821266634433,0.028184048516862462,12.0648426248875,158.2832697174272,0.014917225746130679,12.075166312412499,158.36959487320294,0.025829488004107146
56,11.445061812475,158.28042451190117,0.027327138008894015,11.444940101512499,158.28598575737414,0.013524333456577572,11.455201017131252,158.37444558733094,0.027929696537083885
57,10.848242770906252,158.28296365705458,0.02667669974631933,10.8481492380375,158.29058088289628,0.01154847431343485,10.85833066309375,158.3734930390183,0.02695195627010982
58,10.274006894846872,158.28546215875403,0.02730069998436993,10.273967855918748,158.30273286506178,0.015036552673771962,10.284010981815625,158.36402792643986,0.02254682917966242
59,9.721834161581251,158.28613027410074,0.03005335999918426,9.721933362203124,158.33164839431598,0.038290606027549495,9.731724166290626,158.3543752306571,0.019477476474384553
60,9.19121918725,158.28952345039662,0.03995694653879438,9.191635505981248,158.38157456779106,0.06777667625548651,9.201054979490625,158.3788253382616,0.0299771038741192
61,8.681709074365624,158.3121845508416,0.071107748627092,8.682690592203125,158.44390359768948,0.09417865463406883,8.691740064743751,158.46552684167742,0.06701342542279692
62,8.193020734768751,158.40874446994252,0.1151988784080407,8.19469059503125,158.51062167713576,0.08700165127839966,8.203532576425,158.5863755081678,0.08740291559059599
63,7.725021874315624,158.53499611855594,0.20831047571114678,7.7271344351875,158.53706044269325,0.11226660374916052,7.735906679771875,158.63965660576758,0.14429463662251965
64,7.277107557959375,158.55562179762603,0.22421760644945868,7.279310514190623,158.50227865711335,0.1444686805762888,7.287993891906251,158.60111451930027,0.11362019351910553
65,6.848314649303124,158.5016370192192,0.27274557953515405,6.8504630220875,158.45318893924733,0.19942137006339472,6.858940253687499,158.51684048017995,0.10843126356341935
66,6.438047367425,158.52711755927945,0.30948962793897183,6.4400665438,158.4683979682575,0.2697454389970701,6.448227444721875,158.4927722335285,0.1752606459295814
67,6.0460458019687495,158.68224543582008,0.26405096721212584,6.04782827069375,158.60091587725236,0.29925330630174013,6.0556487432218775,158.60943403167798,0.22638877404942603
68,5.67200353108125,158.88907236056178,0.20376112419143888,5.673545684806251,158.85517842965362,0.25734780217822334,5.681002348093749,158.81808598112104,0.20673909128208168
69,5.315333664840625,159.03237566339837,0.15098448091928485,5.316774360753126,159.06190340473745,0.20449915484085285,5.32380415670625,158.99245853022762,0.17493682094374868
70,4.9753043516234365,159.0969466664681,0.10406709667739873,4.976783503178125,159.17423006337572,0.1607025663381603,4.983353751443749,159.09625492976215,0.16246822204442754
71,4.651254683789062,159.11957161295112,0.0759521682281171,4.65285701559375,159.2291383614137,0.12726972280558782,4.6589725627156255,159.1559312199547,0.1592929100679923
72,4.342638660451562,159.12784413987612,0.061628456725995165,4.344408203831251,159.2634420643068,0.09760462823330397,4.350100964121876,159.20481886760396,0.15690918107444174
73,4.048974019882813,159.12988479777047,0.052359110841897885,4.050931227270312,159.28697801376592,0.07111176788854127,4.056254741182812,159.25221465376706,0.1525420399442711
74,3.769805078660937,159.12972601249655,0.0470915248113358,3.7719508047499994,159.30287648191356,0.052067091895825125,3.776971521278125,159.29705454607057,0.1441738141536131
75,3.5046932347046873,159.13348058112237,0.04469031915743375,3.5070139794343747,159.3184758431717,0.04252883979696,3.5117970909375,159.3396623754077,0.1284203664830952
76,3.2532121430968743,159.14550970461053,0.04183326712571557,3.255687237879688,159.33829565951527,0.03954392184384237,3.260284236207813,159.38052182991535,0.10432445914030375
77,3.0149405182734372,159.16677116963967,0.03627819438089592,3.0175486714406254,159.36551620009743,0.038419576740349105,3.0219894128328133,159.41861416172807,0.0767785388274353
78,2.789456391879687,159.19413563281606,0.02895743308865698,2.792180521125,159.39969999931012,0.03587260127720891,2.796470406331251,159.451309358694,0.053556803262563686
79,2.576335711372656,159.22300037881948,0.023732700326984008,2.579165622803907,159.44004944713586,0.029789968447764898,2.5832904560218752,159.47922860372043,0.0398882146895754
80,2.375152406148438,159.24627151794198,0.021960872397710936,2.378081771104688,159.47570467565856,0.026246095309217187,2.3820237820398433,159.50452396085518,0.03720644038884519
81,2.1854789315617187,159.256874342015,0.021260602460891318,2.1884958892703126,159.4926324736581,0.027434477936903484,2.192250220378906,159.52308371859323,0.04015920082368731
82,2.0068913186382806,159.25547094754864,0.021009593067869536,2.009976469673437,159.49323127286334,0.030463866889811148,2.013550867938281,159.53270785360755,0.04455412211264844
83,1.8389779308585938,159.24860513605486,0.02165850248502077,1.8421095003226562,159.48647990835792,0.03351624755917506,1.8455156043164065,159.53691614616383,0.04934967411695323
84,1.6813413788523437,159.24011373048168,0.02350655440564685,1.684497955274219,159.4774133574762,0.03635823139880629,1.6877470735148439,159.53922028737585,0.054557255971735386
85,1.5335941391726566,159.23195543401295,0.026532094366483763,1.536755299942969,159.46801682545652,0.03905084732341295,1.5398578156679688,159.54185380347622,0.060150305550847334
86,1.3953558577304688,159.2253690573314,0.03049548171702144,1.3985020944999997,159.45935306043546,0.04147610930002656,1.401467655724219,159.54606919682215,0.06610084375255876
87,1.2662515783203123,159.22030514668475,0.03521489598262225,1.2693642767644528,159.4512415422567,0.04348417235534382,1.2722019105902342,159.55190994484104,0.07244472062729054
88,1.1459109694007812,159.2167471809471,0.040783857153567415,1.1489726534207028,159.4440425284288,0.045034706897029396,1.1516906348558593,159.55923516877886,0.0791063569412894
89,1.0339686764972655,159.2148265295546,0.04761760427784819,1.0369632691503905,159.43799501729399,0.04660555782866931,1.0395688605523437,159.56811421186126,0.08604053052505378
90,0.9300644389921874,159.21503734309388,0.055428635612219966,0.9329774441726563,159.43374874453818,0.04774483067794492,0.9354765835902342,159.5782061115078,0.09323711893511281
91,0.8338428776558592,159.21670299534884,0.06668477726433256,0.836661017507422,159.42934953272527,0.04980008721142911,0.8390588233683594,159.58973496112392,0.10180783805311638
92,0.7449541233558595,159.2215149206777,0.07850897456455873,0.7476654383601563,159.4284468779825,0.051286261779167765,0.7499658049179686,159.60238887053103,0.11191703770223264
93,0.6630541286816406,159.22274622440503,0.0934015720512756,0.6656465805070312,159.42189286613453,0.055665499626553816,0.6678538770843752,159.61386398892907,0.12493224477073019
94,0.5878065956892579,159.22045003678704,0.10673742261382657,0.5902694283529297,159.41125974879884,0.06206113360515539,0.5923864237169921,159.617905754153,0.13666677982656228
95,0.5188734116261718,159.19982645188674,0.11880410201088992,0.5211988904818359,159.37957235049373,0.0674578400807742,0.5232228065978517,159.59738554592604,0.14098186295501927
96,0.45591690526894524,159.17866889880548,0.13387912634636204,0.45809890410722665,159.34324730197812,0.07765895618095241,0.4600258044570312,159.57625846054913,0.14937992694309601
97,0.39861047170722663,159.15940550237676,0.14868630526368953,0.40064390932265626,159.30758400724162,0.08568313656865516,0.4024726359181642,159.55719153868313,0.1581251558004166
98,0.34666262460449215,159.30800128464085,0.15918506061491625,0.34854650329511716,159.45522585098027,0.08394161478385234,0.35028283635253904,159.7576332703632,0.18864486719427778
99,0.29994298614326187,160.65412546245236,0.26608898724278857,0.30167468233837885,160.75927716446085,0.19610899716921268,0.3033674467383789,161.39490150861133,0.29869536357373594
